CustomerID,CustomerName,City,CustomerSegment
1,Customer 1,Rajahmundry,New
2,Customer 2,Tirupati,Returning
3,Customer 3,Ongole,New
4,Customer 4,Guntur,Returning
5,Customer 5,Visakhapatnam,Returning
6,Customer 6,Kurnool,VIP
7,Customer 7,Ongole,Returning
8,Customer 8,Kakinada,Returning
9,Customer 9,Visakhapatnam,New
10,Customer 10,Guntur,VIP
11,Customer 11,Ongole,New
12,Customer 12,Ongole,VIP
13,Customer 13,Rajahmundry,VIP
14,Customer 14,Rajahmundry,New
15,Customer 15,Kurnool,Returning
16,Customer 16,Anantapur,Returning
17,Customer 17,Tirupati,New
18,Customer 18,Visakhapatnam,Returning
19,Customer 19,Nellore,Returning
20,Customer 20,Kakinada,Returning
21,Customer 21,Tirupati,New
22,Customer 22,Rajahmundry,New
23,Customer 23,Kurnool,New
24,Customer 24,Visakhapatnam,VIP
25,Customer 25,Ongole,Returning
26,Customer 26,Visakhapatnam,VIP
27,Customer 27,Vijayawada,VIP
28,Customer 28,Anantapur,Returning
29,Customer 29,Visakhapatnam,New
30,Customer 30,Anantapur,New
31,Customer 31,Guntur,VIP
32,Customer 32,Nellore,New
33,Customer 33,Anantapur,VIP
34,Customer 34,Visakhapatnam,Returning
35,Customer 35,Tirupati,Returning
36,Customer 36,Rajahmundry,VIP
37,Customer 37,Kurnool,New
38,Customer 38,Visakhapatnam,New
39,Customer 39,Tirupati,Returning
40,Customer 40,Nellore,New
41,Customer 41,Anantapur,New
42,Customer 42,Rajahmundry,Returning
43,Customer 43,Nellore,VIP
44,Customer 44,Rajahmundry,Returning
45,Customer 45,Ongole,New
46,Customer 46,Anantapur,Returning
47,Customer 47,Kakinada,VIP
48,Customer 48,Tirupati,VIP
49,Customer 49,Kurnool,Returning
50,Customer 50,Kurnool,New
51,Customer 51,Kurnool,New
52,Customer 52,Kurnool,VIP
53,Customer 53,Kakinada,VIP
54,Customer 54,Vijayawada,New
55,Customer 55,Tirupati,Returning
56,Customer 56,Nellore,New
57,Customer 57,Rajahmundry,New
58,Customer 58,Nellore,New
59,Customer 59,Tirupati,VIP
60,Customer 60,Rajahmundry,VIP
61,Customer 61,Vijayawada,VIP
62,Customer 62,Anantapur,Returning
63,Customer 63,Kakinada,Returning
64,Customer 64,Tirupati,Returning
65,Customer 65,Tirupati,VIP
66,Customer 66,Vijayawada,VIP
67,Customer 67,Kurnool,New
68,Customer 68,Ongole,New
69,Customer 69,Anantapur,VIP
70,Customer 70,Ongole,New
71,Customer 71,Vijayawada,Returning
72,Customer 72,Anantapur,New
73,Customer 73,Visakhapatnam,VIP
74,Customer 74,Visakhapatnam,VIP
75,Customer 75,Visakhapatnam,New
76,Customer 76,Visakhapatnam,Returning
77,Customer 77,Nellore,VIP
78,Customer 78,Vijayawada,Returning
79,Customer 79,Nellore,New
80,Customer 80,Vijayawada,Returning
81,Customer 81,Anantapur,Returning
82,Customer 82,Nellore,New
83,Customer 83,Guntur,VIP
84,Customer 84,Kakinada,VIP
85,Customer 85,Guntur,VIP
86,Customer 86,Visakhapatnam,New
87,Customer 87,Kurnool,New
88,Customer 88,Nellore,New
89,Customer 89,Visakhapatnam,New
90,Customer 90,Kurnool,VIP
91,Customer 91,Tirupati,VIP
92,Customer 92,Ongole,New
93,Customer 93,Kakinada,Returning
94,Customer 94,Kurnool,Returning
95,Customer 95,Kurnool,VIP
96,Customer 96,Rajahmundry,Returning
97,Customer 97,Visakhapatnam,VIP
98,Customer 98,Anantapur,Returning
99,Customer 99,Vijayawada,VIP
100,Customer 100,Vijayawada,VIP
101,Customer 101,Guntur,Returning
102,Customer 102,Rajahmundry,VIP
103,Customer 103,Visakhapatnam,New
104,Customer 104,Visakhapatnam,Returning
105,Customer 105,Vijayawada,Returning
106,Customer 106,Rajahmundry,Returning
107,Customer 107,Tirupati,Returning
108,Customer 108,Rajahmundry,New
109,Customer 109,Kakinada,New
110,Customer 110,Kurnool,Returning
111,Customer 111,Vijayawada,New
112,Customer 112,Tirupati,VIP
113,Customer 113,Tirupati,Returning
114,Customer 114,Ongole,VIP
115,Customer 115,Kurnool,New
116,Customer 116,Nellore,VIP
117,Customer 117,Tirupati,Returning
118,Customer 118,Vijayawada,Returning
119,Customer 119,Kurnool,New
120,Customer 120,Kakinada,Returning
121,Customer 121,Kakinada,New
122,Customer 122,Anantapur,New
123,Customer 123,Kakinada,New
124,Customer 124,Rajahmundry,Returning
125,Customer 125,Kakinada,New
126,Customer 126,Visakhapatnam,Returning
127,Customer 127,Kurnool,Returning
128,Customer 128,Nellore,VIP
129,Customer 129,Guntur,New
130,Customer 130,Kakinada,VIP
131,Customer 131,Tirupati,Returning
132,Customer 132,Visakhapatnam,Returning
133,Customer 133,Tirupati,New
134,Customer 134,Rajahmundry,Returning
135,Customer 135,Anantapur,New
136,Customer 136,Nellore,VIP
137,Customer 137,Rajahmundry,New
138,Customer 138,Kurnool,VIP
139,Customer 139,Visakhapatnam,Returning
140,Customer 140,Guntur,VIP
141,Customer 141,Tirupati,Returning
142,Customer 142,Anantapur,VIP
143,Customer 143,Kurnool,New
144,Customer 144,Nellore,Returning
145,Customer 145,Tirupati,VIP
146,Customer 146,Vijayawada,VIP
147,Customer 147,Rajahmundry,VIP
148,Customer 148,Tirupati,VIP
149,Customer 149,Kakinada,VIP
150,Customer 150,Tirupati,Returning
151,Customer 151,Kakinada,VIP
152,Customer 152,Kakinada,Returning
153,Customer 153,Vijayawada,New
154,Customer 154,Kurnool,New
155,Customer 155,Vijayawada,Returning
156,Customer 156,Nellore,New
157,Customer 157,Tirupati,New
158,Customer 158,Nellore,Returning
159,Customer 159,Visakhapatnam,New
160,Customer 160,Kakinada,VIP
161,Customer 161,Rajahmundry,New
162,Customer 162,Rajahmundry,New
163,Customer 163,Kurnool,VIP
164,Customer 164,Nellore,Returning
