OrderID,OrderDate,CustomerID,ProductID,Quantity,OrderValue,OrderStatus,PaymentMethod,Rating,OrderYear,OrderMonth,OrderYearMonth,ComputedValue,ValueVariance,ValueVariancePct,IsDeliveredRating,IsOrderValueOutlier,IsPartialPeriod
1,2024-10-22,786,889,3,13131,Delivered,COD,2,2024,10,2024-10,22545,-9414,-0.4176,Y,N,N
2,2025-03-14,12789,1130,1,9001,Delivered,Wallet,3,2025,3,2025-03,12035,-3034,-0.2521,Y,N,N
3,2025-04-05,7910,1338,3,14739,Returned,NetBanking,4,2025,4,2025-04,15207,-468,-0.0308,N,N,N
4,2025-05-07,21857,655,5,39305,Returned,Card,3,2025,5,2025-05,73200,-33895,-0.463,N,N,N
5,2026-02-03,21430,807,5,7770,Returned,COD,1,2026,2,2026-02,18935,-11165,-0.5896,N,N,N
6,2026-05-23,16593,960,2,476,Delivered,NetBanking,4,2026,5,2026-05,13126,-12650,-0.9637,Y,N,N
7,2025-05-31,11962,1806,4,37824,Cancelled,NetBanking,3,2025,5,2025-05,25860,11964,0.4626,N,N,N
8,2026-06-12,18856,112,5,47935,Delivered,NetBanking,1,2026,6,2026-06,57465,-9530,-0.1658,Y,Y,N
9,2026-05-27,10200,108,5,31585,Delivered,Card,2,2026,5,2026-05,9310,22275,2.3926,Y,N,N
10,2024-11-06,2239,817,5,14220,Shipped,COD,3,2024,11,2024-11,51645,-37425,-0.7247,N,N,N
11,2024-10-29,2660,689,1,2481,Delivered,Card,4,2024,10,2024-10,3292,-811,-0.2464,Y,N,N
12,2026-05-07,9933,1192,2,7582,Delivered,COD,1,2026,5,2026-05,9818,-2236,-0.2277,Y,N,N
13,2024-04-19,17905,62,2,3224,Shipped,Card,2,2024,4,2024-04,11348,-8124,-0.7159,N,N,N
14,2026-03-15,3797,533,1,740,Cancelled,COD,5,2026,3,2026-03,6828,-6088,-0.8916,N,N,N
15,2025-10-12,18539,143,2,8422,Shipped,NetBanking,5,2025,10,2025-10,17500,-9078,-0.5187,N,N,N
16,2024-07-08,8546,1825,3,24417,Shipped,NetBanking,5,2024,7,2024-07,41163,-16746,-0.4068,N,N,N
17,2024-08-12,15250,1064,3,15222,Delivered,NetBanking,4,2024,8,2024-08,43623,-28401,-0.6511,Y,N,N
18,2025-01-24,22080,1710,3,6984,Delivered,Wallet,3,2025,1,2025-01,4098,2886,0.7042,Y,N,N
19,2024-11-12,20795,1456,5,23280,Delivered,UPI,5,2024,11,2024-11,20500,2780,0.1356,Y,N,N
20,2025-08-28,24922,890,4,15908,Delivered,COD,4,2025,8,2025-08,35000,-19092,-0.5455,Y,N,N
21,2024-09-18,7685,381,4,22312,Delivered,NetBanking,5,2024,9,2024-09,6088,16224,2.6649,Y,N,N
22,2024-01-15,6199,1278,2,11544,Shipped,UPI,5,2024,1,2024-01,4276,7268,1.6997,N,N,N
23,2024-12-09,19312,1673,1,4153,Delivered,Wallet,3,2024,12,2024-12,5009,-856,-0.1709,Y,N,N
24,2026-02-01,13711,1549,2,3510,Delivered,Wallet,3,2026,2,2026-02,13500,-9990,-0.74,Y,N,N
25,2025-11-24,7879,550,2,7684,Shipped,Card,4,2025,11,2025-11,14586,-6902,-0.4732,N,N,N
26,2025-01-31,14715,1833,5,22950,Delivered,NetBanking,4,2025,1,2025-01,25985,-3035,-0.1168,Y,N,N
27,2025-03-29,11954,1710,5,32420,Cancelled,Card,5,2025,3,2025-03,6830,25590,3.7467,N,N,N
28,2025-06-10,17902,1294,3,24711,Returned,Card,3,2025,6,2025-06,39279,-14568,-0.3709,N,N,N
29,2024-02-22,8761,509,2,10352,Delivered,Card,5,2024,2,2024-02,3108,7244,2.3308,Y,N,N
30,2024-11-28,17458,1530,3,18960,Delivered,Wallet,2,2024,11,2024-11,18330,630,0.0344,Y,N,N
31,2025-09-10,2051,1170,1,8077,Shipped,Card,4,2025,9,2025-09,1099,6978,6.3494,N,N,N
32,2025-06-09,2361,291,3,15114,Returned,UPI,3,2025,6,2025-06,12117,2997,0.2473,N,N,N
33,2024-12-02,18312,1048,3,13776,Cancelled,COD,3,2024,12,2024-12,29223,-15447,-0.5286,N,N,N
34,2025-06-02,19626,43,1,2315,Delivered,NetBanking,5,2025,6,2025-06,910,1405,1.544,Y,N,N
35,2024-04-27,14142,1854,2,12970,Returned,Card,4,2024,4,2024-04,21720,-8750,-0.4029,N,N,N
36,2024-03-17,6756,175,2,12874,Delivered,UPI,4,2024,3,2024-03,27082,-14208,-0.5246,Y,N,N
37,2024-10-23,10950,47,1,5908,Returned,COD,5,2024,10,2024-10,7063,-1155,-0.1635,N,N,N
38,2024-08-28,13908,1343,5,41005,Delivered,NetBanking,2,2024,8,2024-08,5970,35035,5.8685,Y,N,N
39,2024-08-07,9138,1269,4,33072,Returned,COD,5,2024,8,2024-08,36836,-3764,-0.1022,N,N,N
40,2025-12-13,20429,734,1,7417,Delivered,Wallet,3,2025,12,2025-12,10602,-3185,-0.3004,Y,N,N
41,2024-04-23,8245,1404,5,41415,Delivered,Wallet,1,2024,4,2024-04,16835,24580,1.4601,Y,N,N
42,2024-11-29,12814,1111,2,8702,Delivered,Wallet,5,2024,11,2024-11,12410,-3708,-0.2988,Y,N,N
43,2025-04-30,7908,1260,4,34376,Delivered,Wallet,1,2025,4,2025-04,41100,-6724,-0.1636,Y,N,N
44,2026-06-19,7880,244,5,35870,Shipped,COD,5,2026,6,2026-06,56390,-20520,-0.3639,N,N,N
45,2024-03-28,18931,553,3,2259,Returned,Card,2,2024,3,2024-03,16788,-14529,-0.8654,N,N,N
46,2024-01-08,5898,665,3,21441,Delivered,Wallet,1,2024,1,2024-01,6606,14835,2.2457,Y,N,N
47,2024-06-02,11978,1215,3,1023,Delivered,NetBanking,3,2024,6,2024-06,28446,-27423,-0.964,Y,N,N
48,2024-06-14,5563,1402,3,801,Returned,NetBanking,4,2024,6,2024-06,7908,-7107,-0.8987,N,N,N
