ProductID,SKU,Category,UnitPrice,Brand
1,SKU-1,Electronics,8034,Softq
2,SKU-2,Grocery,6037,Prime
3,SKU-3,Electronics,6063,Nova
4,SKU-4,Home Appliances,7843,Prime
5,SKU-5,Home Appliances,582,Global
6,SKU-6,Home Appliances,3912,Prime
7,SKU-7,Furniture,4755,Prime
8,SKU-8,Home Appliances,3849,Prime
9,SKU-9,Electronics,8935,Elite
10,SKU-10,Grocery,9051,Global
11,SKU-11,Electronics,7264,Nova
12,SKU-12,Home Appliances,4891,Nova
13,SKU-13,Grocery,13476,Elite
14,SKU-14,Electronics,4062,Nova
15,SKU-15,Electronics,893,Global
16,SKU-16,Furniture,10891,Prime
17,SKU-17,Electronics,13714,Softq
18,SKU-18,Electronics,8456,Elite
19,SKU-19,Clothing,6463,Nova
20,SKU-20,Clothing,10303,Softq
21,SKU-21,Clothing,5422,Nova
22,SKU-22,Grocery,7430,Nova
23,SKU-23,Electronics,8308,Softq
24,SKU-24,Furniture,5378,Prime
25,SKU-25,Furniture,6912,Nova
26,SKU-26,Furniture,10245,Nova
27,SKU-27,Clothing,4166,Softq
28,SKU-28,Grocery,5798,Prime
29,SKU-29,Grocery,7970,Elite
30,SKU-30,Electronics,13683,Prime
31,SKU-31,Furniture,11517,Global
32,SKU-32,Furniture,8726,Nova
33,SKU-33,Grocery,4264,Elite
34,SKU-34,Electronics,13126,Elite
35,SKU-35,Furniture,1525,Softq
36,SKU-36,Home Appliances,4462,Prime
37,SKU-37,Furniture,1943,Prime
38,SKU-38,Grocery,10418,Softq
39,SKU-39,Furniture,602,Elite
40,SKU-40,Home Appliances,10293,Global
41,SKU-41,Home Appliances,12365,Softq
42,SKU-42,Clothing,11678,Softq
43,SKU-43,Clothing,910,Prime
44,SKU-44,Clothing,8251,Softq
45,SKU-45,Home Appliances,14227,Prime
46,SKU-46,Clothing,2405,Softq
47,SKU-47,Electronics,7063,Global
48,SKU-48,Home Appliances,9241,Softq
49,SKU-49,Grocery,4607,Nova
50,SKU-50,Clothing,6464,Elite
51,SKU-51,Home Appliances,1958,Nova
52,SKU-52,Electronics,437,Elite
53,SKU-53,Electronics,13884,Nova
54,SKU-54,Clothing,5173,Global
55,SKU-55,Home Appliances,9947,Elite
56,SKU-56,Clothing,4178,Prime
57,SKU-57,Electronics,10515,Elite
58,SKU-58,Electronics,11944,Prime
59,SKU-59,Home Appliances,14850,Softq
60,SKU-60,Grocery,10657,Prime
61,SKU-61,Electronics,13515,Global
62,SKU-62,Grocery,5674,Softq
63,SKU-63,Electronics,3429,Global
64,SKU-64,Grocery,13142,Prime
65,SKU-65,Grocery,8041,Softq
66,SKU-66,Furniture,3231,Global
67,SKU-67,Home Appliances,11120,Softq
68,SKU-68,Electronics,14243,Prime
69,SKU-69,Grocery,10353,Nova
70,SKU-70,Clothing,5771,Global
71,SKU-71,Grocery,12988,Elite
72,SKU-72,Furniture,189,Nova
73,SKU-73,Furniture,8998,Softq
74,SKU-74,Clothing,1283,Global
75,SKU-75,Furniture,10906,Softq
76,SKU-76,Electronics,6579,Softq
77,SKU-77,Furniture,5031,Softq
78,SKU-78,Furniture,2166,Nova
79,SKU-79,Grocery,14258,Nova
80,SKU-80,Home Appliances,12939,Elite
81,SKU-81,Electronics,9199,Global
82,SKU-82,Furniture,14015,Nova
83,SKU-83,Home Appliances,1908,Nova
84,SKU-84,Furniture,13546,Softq
85,SKU-85,Home Appliances,4058,Nova
86,SKU-86,Grocery,7285,Softq
87,SKU-87,Furniture,4159,Prime
88,SKU-88,Clothing,8613,Global
89,SKU-89,Home Appliances,1000,Global
90,SKU-90,Grocery,14696,Elite
91,SKU-91,Home Appliances,10445,Global
92,SKU-92,Home Appliances,2622,Global
93,SKU-93,Electronics,4104,Nova
94,SKU-94,Home Appliances,11769,Nova
95,SKU-95,Home Appliances,13971,Nova
96,SKU-96,Clothing,14094,Elite
97,SKU-97,Home Appliances,8335,Nova
98,SKU-98,Home Appliances,8742,Prime
99,SKU-99,Furniture,2834,Global
100,SKU-100,Clothing,632,Global
101,SKU-101,Clothing,11552,Softq
102,SKU-102,Home Appliances,621,Global
103,SKU-103,Grocery,14614,Nova
104,SKU-104,Electronics,8172,Global
105,SKU-105,Home Appliances,1480,Prime
106,SKU-106,Electronics,3093,Global
107,SKU-107,Grocery,9114,Prime
108,SKU-108,Electronics,1862,Nova
109,SKU-109,Electronics,3749,Softq
110,SKU-110,Furniture,13723,Softq
111,SKU-111,Home Appliances,1442,Elite
112,SKU-112,Grocery,11493,Softq
113,SKU-113,Furniture,2695,Elite
114,SKU-114,Furniture,7827,Global
115,SKU-115,Grocery,1638,Softq
116,SKU-116,Home Appliances,2331,Global
117,SKU-117,Home Appliances,3036,Prime
118,SKU-118,Furniture,2051,Prime
119,SKU-119,Grocery,4763,Elite
120,SKU-120,Furniture,8516,Global
121,SKU-121,Grocery,1445,Nova
122,SKU-122,Grocery,5570,Prime
123,SKU-123,Grocery,4544,Prime
124,SKU-124,Clothing,2261,Elite
125,SKU-125,Furniture,9827,Softq
126,SKU-126,Electronics,9624,Global
127,SKU-127,Electronics,7301,Elite
128,SKU-128,Grocery,5085,Nova
129,SKU-129,Furniture,738,Nova
130,SKU-130,Grocery,10256,Global
131,SKU-131,Electronics,6685,Global
132,SKU-132,Grocery,3616,Prime
133,SKU-133,Home Appliances,10192,Nova
134,SKU-134,Grocery,5877,Softq
135,SKU-135,Electronics,9000,Nova
136,SKU-136,Furniture,6100,Global
137,SKU-137,Clothing,347,Prime
138,SKU-138,Furniture,8060,Global
139,SKU-139,Electronics,7697,Nova
140,SKU-140,Electronics,14525,Global
141,SKU-141,Grocery,12702,Nova
142,SKU-142,Clothing,4916,Prime
143,SKU-143,Furniture,8750,Softq
144,SKU-144,Grocery,14369,Elite
145,SKU-145,Grocery,9606,Global
146,SKU-146,Electronics,215,Softq
147,SKU-147,Furniture,9952,Global
148,SKU-148,Electronics,13512,Nova
149,SKU-149,Electronics,6199,Softq
150,SKU-150,Clothing,11191,Softq
151,SKU-151,Furniture,4119,Nova
152,SKU-152,Grocery,11094,Nova
153,SKU-153,Electronics,13293,Nova
154,SKU-154,Grocery,11969,Elite
155,SKU-155,Electronics,6869,Elite
156,SKU-156,Clothing,11911,Prime
157,SKU-157,Grocery,8422,Prime
158,SKU-158,Furniture,9315,Global
159,SKU-159,Clothing,6511,Nova
160,SKU-160,Home Appliances,7824,Elite
161,SKU-161,Clothing,8364,Global
162,SKU-162,Home Appliances,13111,Nova
163,SKU-163,Clothing,1220,Prime
164,SKU-164,Grocery,934,Prime
165,SKU-165,Clothing,1192,Nova
166,SKU-166,Electronics,12563,Global
167,SKU-167,Clothing,3615,Softq
168,SKU-168,Furniture,11365,Elite
169,SKU-169,Electronics,1048,Elite
170,SKU-170,Clothing,12479,Prime
171,SKU-171,Furniture,11564,Prime
172,SKU-172,Furniture,8429,Nova
173,SKU-173,Clothing,9585,Prime
174,SKU-174,Furniture,3305,Elite
175,SKU-175,Furniture,13541,Global
176,SKU-176,Home Appliances,6182,Elite
177,SKU-177,Home Appliances,632,Softq
178,SKU-178,Electronics,10854,Elite
179,SKU-179,Grocery,10492,Elite
180,SKU-180,Clothing,13920,Nova
181,SKU-181,Grocery,11114,Prime
182,SKU-182,Grocery,11514,Nova
183,SKU-183,Home Appliances,8792,Nova
184,SKU-184,Home Appliances,14811,Prime
